Category,Category_3,Category_4,Entity,
medicine/anatomical_structure,medicine,anatomical_structure,Scalp,
medicine/anatomical_structure,medicine,anatomical_structure,Shoulder,
medicine/anatomical_structure,medicine,anatomical_structure,Skin,
medicine/anatomical_structure,medicine,anatomical_structure,Stomach,
medicine/anatomical_structure,medicine,anatomical_structure,The finger,
medicine/anatomical_structure,medicine,anatomical_structure,Thorax,
medicine/anatomical_structure,medicine,anatomical_structure,Throat,
medicine/anatomical_structure,medicine,anatomical_structure,Tip of the tongue,
medicine/anatomical_structure,medicine,anatomical_structure,Toe,
medicine/anatomical_structure,medicine,anatomical_structure,Tongue,
medicine/anatomical_structure,medicine,anatomical_structure,Tooth,
medicine/anatomical_structure,medicine,anatomical_structure,Torso,
medicine/anatomical_structure,medicine,anatomical_structure,Uterus,
medicine/anatomical_structure,medicine,anatomical_structure,Vertebral column,
medicine/anatomical_structure,medicine,anatomical_structure,Withers,
medicine/anatomical_structure,medicine,anatomical_structure,Wrist,
medicine/anatomical_structure,medicine,anatomical_structure,Zygomatic bone,
biology/animal,biology,animal,Animal,
biology/animal,biology,animal,Bear,
biology/animal,biology,animal,Bird,
biology/animal,biology,animal,bird of ill omen,
biology/animal,biology,animal,Bird of prey,
biology/animal,biology,animal,Bombyx mori,
biology/animal,biology,animal,Brown bear,
biology/animal,biology,animal,Bull,
biology/animal,biology,animal,Butterfly,
biology/animal,biology,animal,Camel,
biology/animal,biology,animal,Carp,
biology/animal,biology,animal,Cat,
biology/animal,biology,animal,Cattle,
biology/animal,biology,animal,Cheetah,
biology/animal,biology,animal,Cicada,
biology/animal,biology,animal,Conch,
biology/animal,biology,animal,Coral,
biology/animal,biology,animal,Crab,
biology/animal,biology,animal,Crane (bird),
biology/animal,biology,animal,Crane fly,
biology/animal,biology,animal,Crow,
biology/animal,biology,animal,Deer,
biology/animal,biology,animal,Dog,
biology/animal,biology,animal,Dragonfly,
biology/animal,biology,animal,Eagle,
biology/animal,biology,animal,Elephant,
biology/animal,biology,animal,Exotic pet,
biology/animal,biology,animal,Falcon,
biology/animal,biology,animal,Fish,
biology/animal,biology,animal,Fly,
biology/animal,biology,animal,Goat,
biology/animal,biology,animal,Goose,
biology/animal,biology,animal,Haidongqing,
biology/animal,biology,animal,Hawk,
biology/animal,biology,animal,Horse,
biology/animal,biology,animal,Insect,
biology/animal,biology,animal,Kangaroo,
biology/animal,biology,animal,Leopard,
biology/animal,biology,animal,Leopard cat,
biology/animal,biology,animal,Lion,
biology/animal,biology,animal,Monkey,
biology/animal,biology,animal,Moth,
biology/animal,biology,animal,Mouse,
biology/animal,biology,animal,Owl,
biology/animal,biology,animal,Ox,
biology/animal,biology,animal,Perch,
biology/animal,biology,animal,Pet,
biology/animal,biology,animal,Pig,
biology/animal,biology,animal,Polled livestock,
biology/animal,biology,animal,Rabbit,
biology/animal,biology,animal,Rhinoceros,
biology/animal,biology,animal,Scops owl,
biology/animal,biology,animal,Sheep,
biology/animal,biology,animal,Snake,
biology/animal,biology,animal,Stargazer (fish),
biology/animal,biology,animal,Swan,
biology/animal,biology,animal,Tiger,
biology/animal,biology,animal,Tortoise,
biology/animal,biology,animal,Turtle,
biology/animal,biology,animal,Viperidae,
biology/animal,biology,animal,Whale,
biology/animal,biology,animal,Wild boar,
biology/animal,biology,animal,Wolf,
geography/archaeological_site,geography,archaeological_site,Artifact (archaeology),
geography/archaeological_site,geography,archaeological_site,Astana Cemetery,
geography/archaeological_site,geography,archaeological_site,Daegu Jaya Tomb,
geography/archaeological_site,geography,archaeological_site,Fujinoki Tomb,
geography/archaeological_site,geography,archaeological_site,Gaochang,
geography/archaeological_site,geography,archaeological_site,Gongshan Tomb,
geography/archaeological_site,geography,archaeological_site,Grotto,
geography/archaeological_site,geography,archaeological_site,Hejiacun,
geography/archaeological_site,geography,archaeological_site,Lingjiatan,
geography/archaeological_site,geography,archaeological_site,Maoling,
geography/archaeological_site,geography,archaeological_site,Qianling Mausoleum,
geography/archaeological_site,geography,archaeological_site,Ruins,
geography/archaeological_site,geography,archaeological_site,Tomb,
architecture/architectural_style,architecture,architectural_style,Arch,
architecture/architectural_style,architecture,architectural_style,Ancient Greek architecture,
architecture/architectural_style,architecture,architectural_style,Architecture,
architecture/architectural_style,architecture,architectural_style,Classical order,
architecture/architectural_style,architecture,architectural_style,Dome,
architecture,architecture,architecture,Pier (architecture),
architecture,architecture,architecture,Column,
architecture,architecture,architecture,Defensive wall,
architecture,architecture,architecture,Great Wall of China,
architecture,architecture,architecture,Wall,
visual_art/art_acquisition_method,visual_art,art_acquisition_method,Gift,
visual_art/art_form,visual_art,art_form,Architectural drawing,
visual_art/art_form,visual_art,art_form,Buddhist art,
visual_art/art_form,visual_art,art_form,Calligraphy,
visual_art/art_form,visual_art,art_form,Chinese painting,
visual_art/art_form,visual_art,art_form,Drawing,
visual_art/art_form,visual_art,art_form,Embroidery,
visual_art/art_form,visual_art,art_form,Floral design,
visual_art/art_form,visual_art,art_form,Folk art,
visual_art/art_form,visual_art,art_form,Islamic geometric patterns,
visual_art/artwork,visual_art,artwork,Mirror,
visual_art/art_form,visual_art,art_form,Painting,
visual_art/art_form,visual_art,art_form,Panorama,
visual_art/art_form,visual_art,art_form,Petroglyph,
visual_art/art_form,visual_art,art_form,Photography,
visual_art/art_form,visual_art,art_form,Replica,
visual_art/art_form,visual_art,art_form,Scale model,
visual_art/art_form,visual_art,art_form,Sculpture,
visual_art/art_form,visual_art,art_form,Silk painting,
visual_art/art_form,visual_art,art_form,Statue,
visual_art/art_form,visual_art,art_form,Stele,
visual_art/art_form,visual_art,art_form,Stone carving,
visual_art/art_form,visual_art,art_form,Ukiyo-e,
visual_art/art_period_movement,visual_art,art_period_movement,Romanticism,
visual_art/art_period_movement,visual_art,art_period_movement,Yuan Qinghua,
visual_art/art_subject,visual_art,art_subject,Art,
visual_art/art_subject,visual_art,art_subject,Azure Dragon,
visual_art/art_subject,visual_art,art_subject,Black Tortoise,
visual_art/art_form,visual_art,art_form,Chinese calligraphy,
visual_art/art_subject,visual_art,art_subject,Image,
visual_art/art_subject,visual_art,art_subject,Shan shui,
visual_art/art_period_movement,visual_art,art_period_movement,Symbolism (arts),
visual_art/art_technique,visual_art,art_technique,Carved lacquer,
visual_art/art_technique,visual_art,art_technique,Carving,
visual_art/art_technique,visual_art,art_technique,Casting,
visual_art/art_technique,visual_art,art_technique,Ceramic glaze,
visual_art/art_technique,visual_art,art_technique,Gilding,
visual_art/art_technique,visual_art,art_technique,Inlay,
visual_art/art_technique,visual_art,art_technique,Machine,
visual_art/art_technique,visual_art,art_technique,Modular design,
visual_art/art_technique,visual_art,art_technique,Ormolu,
visual_art/art_technique,visual_art,art_technique,Perspective (graphical),
visual_art/art_technique,visual_art,art_technique,Relief,
visual_art/art_technique,visual_art,art_technique,Sancai,
visual_art/art_technique,visual_art,art_technique,Sound recording and reproduction,
visual_art/art_technique,visual_art,art_technique,Superimposition,
visual_art/art_technique,visual_art,art_technique,Tuner (radio),
visual_art/artwork,visual_art,artwork,Autumn Mountain Jade,
visual_art/artwork,visual_art,artwork,Bronze mirror,
visual_art/artwork,visual_art,artwork,Concentric objects,
visual_art/artwork,visual_art,artwork,Dahe Ding,
visual_art/artwork,visual_art,artwork,Ding,
visual_art/artwork,visual_art,artwork,Dogū,
visual_art/artwork,visual_art,artwork,Effigy,
visual_art/artwork,visual_art,artwork,Figurine,
visual_art/artwork,visual_art,artwork,Masterpiece,
visual_art/artwork,visual_art,artwork,Relic,
visual_art/artwork,visual_art,artwork,The Starry Night,
astronomy,astronomy,astronomy,Astrology,
astronomy,astronomy,astronomy,Astronomy,
astronomy,astronomy,astronomy,Celestial equator,
astronomy,astronomy,astronomy,Celestial pole,
astronomy,astronomy,astronomy,Celestial sphere,
astronomy,astronomy,astronomy,Cosmology,
astronomy,astronomy,astronomy,Ecliptic,
astronomy,astronomy,astronomy,Heavenly Stems,
astronomy,astronomy,astronomy,Light-year,
astronomy,astronomy,astronomy,Night sky,
astronomy,astronomy,astronomy,Orbit,
astronomy,astronomy,astronomy,Sky,
astronomy,astronomy,astronomy,Space,
astronomy,astronomy,astronomy,Universe,
astronomy,astronomy,astronomy,Zenith,
religion/belief,religion,belief,Aeon (Gnosticism),
religion/belief,religion,belief,Afterlife,
religion/belief,religion,belief,Animal worship,
religion/belief,religion,belief,Christian symbolism,
religion/belief,religion,belief,Confucianism,
religion/belief,religion,belief,Demon,
religion/belief,religion,belief,Destiny,
religion/belief,religion,belief,Divine Wisdom,
religion/belief,religion,belief,Doctrine,
religion/belief,religion,belief,Enlightenment in Buddhism,
religion/belief,religion,belief,Faith,
religion/belief,religion,belief,Incarnation,
religion/belief,religion,belief,Magi,
religion/belief,religion,belief,Nirvana,
religion/belief,religion,belief,Oracle,
religion/belief,religion,belief,Pure land,
religion/belief,religion,belief,Reincarnation,
religion/belief,religion,belief,Tao,
religion/belief,religion,belief,The Beast (Revelation),
religion/belief,religion,belief,Zen,
beverage,beverage,beverage,Drink,
beverage,beverage,beverage,Liquor,
beverage,beverage,beverage,Sake,
beverage,beverage,beverage,Tea,
beverage,beverage,beverage,Whisky,
beverage,beverage,beverage,Wine,
biology,biology,biology,Bird migration,
biology,biology,biology,Chirp,
biology,biology,biology,Egg incubation,
biology,biology,biology,Family (biology),
biology,biology,biology,Gene,
biology,biology,biology,Germination,
biology,biology,biology,Human body,
biology,biology,biology,Human skin color,
biology,biology,biology,Metamorphosis,
biology,biology,biology,Nocturnality,
biology,biology,biology,Predation,
biology,biology,biology,Progenitor,
biology,biology,biology,Reproduction,
biology,biology,biology,Sexual maturity,
biology,biology,biology,Skeleton,
biology,biology,biology,Species,
biology,biology,biology,Thermoregulation,
biology,biology,biology,Transcription (biology),
biology,biology,biology,Wilting,
geography/body_of_water,geography,body_of_water,Baltic Sea,
geography/body_of_water,geography,body_of_water,Big River (Missouri),
geography/body_of_water,geography,body_of_water,Dian Lake,
geography/body_of_water,geography,body_of_water,Dongting Lake,
geography/body_of_water,geography,body_of_water,Four Seas,
geography/body_of_water,geography,body_of_water,Ganges,
geography/body_of_water,geography,body_of_water,Gulf,
geography/body_of_water,geography,body_of_water,Jin River,
geography/body_of_water,geography,body_of_water,Kunlun Ocean,
geography/body_of_water,geography,body_of_water,Lake,
geography/body_of_water,geography,body_of_water,Lake Baikal,
geography/body_of_water,geography,body_of_water,Liao River,
geography/body_of_water,geography,body_of_water,Liaohe River Basin,
geography/body_of_water,geography,body_of_water,Mediterranean Sea,
geography/body_of_water,geography,body_of_water,North Pole,
geography/body_of_water,geography,body_of_water,Ocean,
geography/body_of_water,geography,body_of_water,Pacific Ocean,
geography/body_of_water,geography,body_of_water,Qiantang River,
geography/body_of_water,geography,body_of_water,Reef,
geography/body_of_water,geography,body_of_water,River,
geography/body_of_water,geography,body_of_water,Sea,
geography/body_of_water,geography,body_of_water,Seawater,
geography/body_of_water,geography,body_of_water,Spring (hydrology),
geography/body_of_water,geography,body_of_water,Spring River (Arkansas),
geography/body_of_water,geography,body_of_water,Stream,
geography/body_of_water,geography,body_of_water,The Serpentine,
geography/body_of_water,geography,body_of_water,Tide,
geography/body_of_water,geography,body_of_water,Wave,
geography/body_of_water,geography,body_of_water,Yangtze,
geography/body_of_water,geography,body_of_water,Yellow River,
visual_art/body_part,visual_art,body_part,Beard,
visual_art/body_part,visual_art,body_part,Chin,
visual_art/body_part,visual_art,body_part,Eyebrow,
visual_art/body_part,visual_art,body_part,Footprint,
visual_art/body_part,visual_art,body_part,Moustache,
visual_art/body_part,visual_art,body_part,Pointy ears,
visual_art/body_part,visual_art,body_part,Sideburns,
visual_art/body_part,visual_art,body_part,Whiskers,
book/book_subject,book,book_subject,History of China,
book/book_subject,book,book_subject,Narrative,
transportation/bridge_type,transportation,bridge_type,Trestle bridge,
architecture/building_complex,architecture,building_complex,Eaves,
architecture/building_complex,architecture,building_complex,Gate tower,
architecture/building_complex,architecture,building_complex,Mansion,
architecture/building_complex,architecture,building_complex,Royal household,
architecture/building_complex,architecture,building_complex,Tower,
architecture/building_complex,architecture,building_complex,Apartment,
architecture/building_complex,architecture,building_complex,Chamber tomb,
architecture/building_complex,architecture,building_complex,Famen Temple,
architecture/building_complex,architecture,building_complex,Grand Palace,
architecture/building_complex,architecture,building_complex,Mausoleum,
architecture/building_complex,architecture,building_complex,Monument,
architecture/building_complex,architecture,building_complex,Museum,
architecture/building_complex,architecture,building_complex,Palace,
architecture/building_complex,architecture,building_complex,Royal court,
architecture/building_complex,architecture,building_complex,Stupa,
architecture/building_function,architecture,building_function,Aisle,
architecture/building_function,architecture,building_function,Ancestral shrine,
architecture/building_function,architecture,building_function,Courtyard,
architecture/building_function,architecture,building_function,Ditch,
architecture/building_function,architecture,building_function,Gate,
architecture/building_function,architecture,building_function,Latticework,
architecture/building_function,architecture,building_function,Lock (water navigation),
architecture/building_function,architecture,building_function,Mao Pavilion,
architecture/building_function,architecture,building_function,Pavilion,
architecture/building_function,architecture,building_function,Shower,
architecture/building_function,architecture,building_function,Sink,
architecture/building_function,architecture,building_function,Slaughterhouse,
architecture/building_function,architecture,building_function,Taoist temple,
architecture/building_function,architecture,building_function,Water stop,
architecture/building_function,architecture,building_function,Altar,
architecture/building_function,architecture,building_function,Barn,
architecture/building_function,architecture,building_function,Basement,
architecture/building_function,architecture,building_function,Bridge,
architecture/building_function,architecture,building_function,Cloud Platform at Juyong Pass,
architecture/building_function,architecture,building_function,Coffin,
architecture/building_function,architecture,building_function,Compartment (ship),
architecture/building_function,architecture,building_function,Door,
architecture/building_function,architecture,building_function,Forge,
architecture/building_function,architecture,building_function,Granary,
architecture/building_function,architecture,building_function,Great hall,
architecture/building_function,architecture,building_function,Kiln,
architecture/building_function,architecture,building_function,Kitchen,
architecture/building_function,architecture,building_function,Longxing Temple,
architecture/building_function,architecture,building_function,Menagerie,
architecture/building_function,architecture,building_function,Pontoon bridge,
architecture/building_function,architecture,building_function,Shrine,
architecture/building_function,architecture,building_function,Silo,
architecture/building_function,architecture,building_function,Temple,
architecture/building_function,architecture,building_function,Tent,
architecture/building_function,architecture,building_function,Throne,
architecture/building_function,architecture,building_function,Warehouse,
architecture/building_function,architecture,building_function,Workshop,
business,business,business,Credit,
business,business,business,Debt,
business,business,business,Debtor,
business,business,business,Distribution of wealth,
business,business,business,Loan,
business,business,business,Money,
business,business,business,Risk,
business,business,business,Wage,
business/business_operation,business,business_operation,Census,
business/business_operation,business,business_operation,Coin,
business/business_operation,business,business_operation,Communication,
business/business_operation,business,business_operation,Da liang zao,
business/business_operation,business,business_operation,Deed,
business/business_operation,business,business_operation,Lawsuit,
business/business_operation,business,business_operation,Logistics,
business/business_operation,business,business_operation,Overtime,
business/business_operation,business,business_operation,Payment,
business/business_operation,business,business_operation,Quenching,
business/business_operation,business,business_operation,Speculation,
business/business_operation,business,business_operation,Tribute,
business/business_operation,business,business_operation,Wealth,
time/calendar,time,calendar,1987-01-01T00:00:00.000+00:00,
time/calendar,time,calendar,2024-06-01T00:00:00.000+00:00,
time/calendar,time,calendar,Anno Domini,
time/calendar,time,calendar,Calendar,
time/calendar,time,calendar,Chinese calendar,
astronomy/celestial_object_category,astronomy,celestial_object_category,Astronomical object,
astronomy/celestial_object_category,astronomy,celestial_object_category,Classical planet,
astronomy/celestial_object_category,astronomy,celestial_object_category,Earth,
astronomy/celestial_object_category,astronomy,celestial_object_category,Full moon,
astronomy/celestial_object_category,astronomy,celestial_object_category,Jupiter,
astronomy/celestial_object_category,astronomy,celestial_object_category,Meteoroid,
astronomy/celestial_object_category,astronomy,celestial_object_category,Moon,
astronomy/celestial_object_category,astronomy,celestial_object_category,North Star,
astronomy/celestial_object_category,astronomy,celestial_object_category,Solar analog,
astronomy/celestial_object_category,astronomy,celestial_object_category,South Pole,
astronomy/celestial_object_category,astronomy,celestial_object_category,Star,
astronomy/celestial_object_category,astronomy,celestial_object_category,Titan (moon),
fictional_universe/character_species,fictional_universe,character_species,Dragon,
fictional_universe/character_species,fictional_universe,character_species,Giant,
chemistry/chemical_classification,chemistry,chemical_classification,Alloy,
chemistry/chemical_classification,chemistry,chemical_classification,Organic matter,
chemistry/chemical_compound,chemistry,chemical_compound,Adhesive,
chemistry/chemical_compound,chemistry,chemical_compound,Agate,
chemistry/chemical_compound,chemistry,chemical_compound,Alabaster,
chemistry/chemical_compound,chemistry,chemical_compound,Amber,
chemistry/chemical_compound,chemistry,chemical_compound,Aroma compound,
chemistry/chemical_compound,chemistry,chemical_compound,Celluloid,
chemistry/chemical_compound,chemistry,chemical_compound,Chemical substance,
chemistry/chemical_compound,chemistry,chemical_compound,Cinnabar,
chemistry/chemical_compound,chemistry,chemical_compound,Copper(II) oxide,
chemistry/chemical_compound,chemistry,chemical_compound,Crystal,
chemistry/chemical_compound,chemistry,chemical_compound,Fertilizer,
chemistry/chemical_compound,chemistry,chemical_compound,Gas,
chemistry/chemical_compound,chemistry,chemical_compound,Ice,
chemistry/chemical_compound,chemistry,chemical_compound,Indigo,
chemistry/chemical_compound,chemistry,chemical_compound,Kaolinite,
chemistry/chemical_compound,chemistry,chemical_compound,Lapis lazuli,
chemistry/chemical_compound,chemistry,chemical_compound,Molecule,
chemistry/chemical_compound,chemistry,chemical_compound,Onyx,
chemistry/chemical_compound,chemistry,chemical_compound,Oxide,
chemistry/chemical_compound,chemistry,chemical_compound,Paraffin wax,
chemistry/chemical_compound,chemistry,chemical_compound,Pearl,
chemistry/chemical_compound,chemistry,chemical_compound,Salt,
chemistry/chemical_compound,chemistry,chemical_compound,Silicone,
chemistry/chemical_compound,chemistry,chemical_compound,Vapor,
chemistry/chemical_compound,chemistry,chemical_compound,Wax,
chemistry/chemical_element,chemistry,chemical_element,Bronze,
chemistry/chemical_element,chemistry,chemical_element,Carbon,
chemistry/chemical_element,chemistry,chemical_element,Cobalt,
chemistry/chemical_element,chemistry,chemical_element,Copper,
chemistry/chemical_element,chemistry,chemical_element,Emerald,
chemistry/chemical_element,chemistry,chemical_element,Gold,
chemistry/chemical_element,chemistry,chemical_element,Iron,
chemistry/chemical_element,chemistry,chemical_element,Lead,
chemistry/chemical_element,chemistry,chemical_element,Mercury (element),
chemistry/chemical_element,chemistry,chemical_element,Metal,
chemistry/chemical_element,chemistry,chemical_element,Neon,
chemistry/chemical_element,chemistry,chemical_element,Precious metal,
chemistry/chemical_element,chemistry,chemical_element,Silver,
geography/city_name,geography,city_name,Astana,
geography/city_name,geography,city_name,Beijing,
geography/city_name,geography,city_name,"Boshan, Zibo",
geography/city_name,geography,city_name,Bow Moon City,
geography/city_name,geography,city_name,Capital city,
geography/city_name,geography,city_name,Chang'an,
geography/city_name,geography,city_name,Changsha,
geography/city_name,geography,city_name,Chengdu,
geography/city_name,geography,city_name,Chifeng,
geography/city_name,geography,city_name,Daegu,
geography/city_name,geography,city_name,Datong,
geography/city_name,geography,city_name,Dujiangyan City,
geography/city_name,geography,city_name,Dunhuang,
geography/city_name,geography,city_name,Fukushima,
geography/city_name,geography,city_name,Fuyang,
geography/city_name,geography,city_name,Fuzhou,
geography/city_name,geography,city_name,Guyuan,
geography/city_name,geography,city_name,Handan,
geography/city_name,geography,city_name,Hangzhou,
geography/city_name,geography,city_name,"Huangzhou, Huanggang",
geography/city_name,geography,city_name,Hui Luo City,
geography/city_name,geography,city_name,"Imperial City, Beijing",
geography/city_name,geography,city_name,Jiankang,
geography/city_name,geography,city_name,Jiegu,
geography/city_name,geography,city_name,Jingdezhen,
geography/city_name,geography,city_name,Jinzhou,
geography/city_name,geography,city_name,Kaifeng,
geography/city_name,geography,city_name,"Kaiyuan, Liaoning",
geography/city_name,geography,city_name,"Lintong, Xi'an",
geography/city_name,geography,city_name,Liye,
geography/city_name,geography,city_name,Luoyang,
geography/city_name,geography,city_name,Nanjing,
geography/city_name,geography,city_name,Nara (city),
geography/city_name,geography,city_name,Paris,
geography/city_name,geography,city_name,"Phoenix, Arizona",
geography/city_name,geography,city_name,Qingzhou,
geography/city_name,geography,city_name,Quanzhou,
geography/city_name,geography,city_name,Rome,
geography/city_name,geography,city_name,Shanghai,
geography/city_name,geography,city_name,Shenyang,
geography/city_name,geography,city_name,"South Gate, California",
geography/city_name,geography,city_name,Sparta,
geography/city_name,geography,city_name,Suizhou,
geography/city_name,geography,city_name,Suzhou,
geography/city_name,geography,city_name,Taicang,
geography/city_name,geography,city_name,Tangshan,
geography/city_name,geography,city_name,Tianshui,
geography/city_name,geography,city_name,Tokyo,
geography/city_name,geography,city_name,Turpan,
geography/city_name,geography,city_name,"Tyre, Lebanon",
geography/city_name,geography,city_name,"Wuwei, Gansu",
geography/city_name,geography,city_name,Xi'an,
geography/city_name,geography,city_name,"Xindu, Chengdu",
geography/city_name,geography,city_name,Xingyang,
geography/city_name,geography,city_name,Xining,
geography/city_name,geography,city_name,Xinzheng,
geography/city_name,geography,city_name,Yangzhou,
geography/city_name,geography,city_name,Zhangye,
geography/city_name,geography,city_name,Zhengzhou,
visual_art/color,visual_art,color,Color,
visual_art/color,visual_art,color,Silver-gilt,
visual_art/color,visual_art,color,Turquoise,
visual_art/color,visual_art,color,Vermilion,
communication,communication,communication,Description,
communication,communication,communication,Discourse,
communication,communication,communication,Explanation,
communication,communication,communication,Message,
business/company_type,business,company_type,Bank,
business/company_type,business,company_type,BMW,
business/company_type,business,company_type,China National Recording Corporation,
business/company_type,business,company_type,Pepsi,
business/company_type,business,company_type,Pepsi Tong,
business/company_type,business,company_type,Savings and loan association,
computer/computing_platform,computer,computing_platform,3D modeling,
computer/computing_platform,computer,computing_platform,Artificial intelligence,
computer/computing_platform,computer,computing_platform,Cursor (user interface),
computer/computing_platform,computer,computing_platform,Graphical user interface,
computer/computing_platform,computer,computing_platform,Internet,
computer/computing_platform,computer,computing_platform,Password,
computer/computing_platform,computer,computing_platform,Simulation,
computer/computing_platform,computer,computing_platform,Sprite (computer graphics),
computer/computing_platform,computer,computing_platform,Tree (graph theory),
